Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.029396	1.186156	1.085527	47.521256	92.990000	
0.026602	1.169203	1.154184	46.108814	93.340000	
0.023901	1.204036	1.095430	49.389026	93.050000	
0.021301	1.152659	1.108662	48.455141	93.320000	
0.018814	1.149459	1.109276	47.902244	93.400000	
0.016449	1.093182	1.109560	45.634902	93.800000	
0.014215	1.110298	1.062820	52.659945	94.020000	
0.012121	1.188072	1.150812	49.951215	94.160000	
0.010175	1.149489	1.159102	47.275008	94.020000	
0.008385	1.119827	1.099073	50.490173	94.360000	
0.006757	1.111833	1.047107	44.770710	94.290000	
0.005299	1.124728	1.087217	50.355434	94.210000	
0.004015	1.074779	1.072939	48.515542	94.430000	
0.002912	1.095412	1.089447	50.885100	94.510000	
0.001992	1.120706	1.153231	49.468011	94.520000	
0.001259	1.015929	0.985417	46.415463	94.740000	
0.000718	1.121418	1.062556	49.709613	94.570000	
0.000369	1.120287	1.060658	49.519119	94.600000	
0.000213	1.086060	1.093428	50.350788	94.600000	
0.089955	1.032773	1.220983	46.688349	89.940000	
0.089822	1.244764	1.115347	48.077022	90.380000	
0.089599	1.311264	1.229773	42.873367	90.370000	
0.089288	1.266402	1.146530	47.152961	87.900000	
0.088889	1.241867	1.149188	45.599091	91.600000	
0.088402	1.223141	1.158343	42.150638	90.360000	
0.087830	1.277263	1.123996	44.385938	90.200000	
0.087173	1.308272	1.195455	47.070363	89.630000	
0.086432	1.281386	1.169804	43.792267	89.630000	
0.085609	1.226262	1.200046	47.101337	90.160000	
0.084706	1.279054	1.145546	46.048216	88.540000	
0.083723	1.282154	1.150720	43.343142	89.640000	
0.082664	1.230016	1.192556	46.647050	89.990000	
0.081530	1.266863	1.302026	44.416912	91.120000	
0.080324	1.223786	1.086668	43.487688	89.630000	
0.079048	1.271206	1.244273	46.228899	90.970000	
0.077704	1.263515	1.129959	48.216406	90.950000	
0.076295	1.229986	1.137649	48.030561	91.990000	
0.074825	1.274836	1.060424	45.810748	92.090000	
0.073295	1.201198	1.014517	45.186103	91.980000	
0.071709	1.249776	1.157126	43.983274	92.140000	
0.070070	1.212778	1.083223	46.135976	91.880000	
0.068382	1.222989	1.056042	45.371948	91.680000	
0.066647	1.265085	1.194916	49.388261	91.800000	
0.064869	1.199940	1.095852	45.067369	91.650000	
0.063052	1.255150	1.099491	43.802592	92.160000	
0.061200	1.179408	1.174575	47.168448	91.490000	
0.059315	1.216478	1.110779	49.754788	92.540000	
0.057402	1.140658	1.125753	48.995922	92.130000	
0.055465	1.231251	1.203726	44.468535	92.090000	
0.053507	1.190752	1.071273	47.710495	92.960000	
0.051532	1.185997	1.076252	48.061535	93.530000	
0.049544	1.181935	1.120158	49.011409	92.350000	
0.047548	1.203303	1.096784	50.327810	92.990000	
0.045546	1.152486	1.098099	48.128646	92.660000	
0.043544	1.166681	1.048730	39.899850	92.930000	
0.041544	1.177427	1.113509	48.897837	93.410000	
0.039552	1.142999	1.130465	48.732642	93.420000	
0.037571	1.145819	1.065881	47.411078	94.000000	
0.035605	1.154083	1.102645	46.678024	94.180000	
0.033657	1.171252	1.104719	41.665376	93.520000	
0.031732	1.164702	1.150318	48.438387	93.720000	
0.029834	1.118020	1.122091	47.245883	94.010000	
